Year,Momentum,Benchmark,Diff
2001,-0.8578767030714141,5.529671940043923,-6.387548643115338
2002,-13.412231678945641,-7.736303611134787,-5.675928067810855
2003,52.31130746182184,39.673833847554164,12.637473614267677
2004,29.278329952547644,20.160006445323052,9.118323507224591
2005,10.334980133372419,9.861324524873849,0.4736556084985697
2006,19.045052255588924,23.79013373323935,-4.745081477650427
2007,24.991686358416597,10.994103700010216,13.997582658406381
2008,-34.239452886924006,-30.469115885078267,-3.770337001845739
2009,29.95630572677579,42.11235960654114,-12.156053879765352
2010,12.789001289409319,20.65424330433958,-7.865242014930262
2011,2.889802518256235,4.636964686411016,-1.747162168154781
2012,10.462871694029573,18.141670173193592,-7.678798479164019
2013,41.300391303527896,33.6981085446145,7.602282758913397
2014,12.146782899684139,18.179258591848235,-6.0324756921640965
2015,-5.755589376204206,-2.4524889807878814,-3.3031003954163247
2016,19.813315484304205,18.34385679356092,1.4694586907432843
2017,22.9266027346428,18.82910475385493,4.0974979807878675
2018,-2.4421483462367832,-6.2534540261798055,3.8113056799430223
2019,19.339668162388925,27.701951715732044,-8.362283553343119
2020,3.160569629614085,5.646500257580223,-2.4859306279661375
2021,29.73421569292325,27.81771986856254,1.9164958243607089
2022,-0.0691041557365435,-3.0340616257393593,2.964957470002816
2023,9.34536761870135,11.17784033522813,-1.8324727165267802
2024,17.999365419385672,9.333058335303402,8.66630708408227
2025,30.202168204732004,13.460024827098916,16.742143377633088
2026,30.23153500691169,21.71914114894915,8.512393857962543
