Timestamp,Date,Ticker,Qty,AvgEntryPrice,CurrentPrice,MarketValue,CostBasis,UnrealizedPL,UnrealizedPLPct,PctOfEquity
2026-08-14 02:14:16,2026-08-14,JPM,14.6847,328.5512,362.84,5328.2,4824.68,503.52,10.436,43.9588
2026-08-14 02:14:16,2026-08-14,TSLA,17.2815,311.4925,342.27,5914.94,5383.06,531.88,9.881,48.7995
2026-08-17 02:08:49,2026-08-17,JPM,14.6847,328.5512,360.96,5300.59,4824.68,475.91,9.864,44.1605
2026-08-17 02:08:49,2026-08-17,NVDA,10.7665,226.17,224.17,2413.53,2435.06,-21.53,-0.884,20.1077
2026-08-18 02:10:46,2026-08-18,AAPL,7.8556,307.28,310.2,2436.81,2413.87,22.94,0.95,20.2878
2026-08-18 02:10:46,2026-08-18,JPM,14.6847,328.5512,363.27,5334.51,4824.68,509.83,10.567,44.4128
2026-08-19 02:09:13,2026-08-19,AAPL,7.8556,307.28,316.49,2486.22,2413.87,72.35,2.997,20.7527
2026-08-19 02:09:13,2026-08-19,JPM,14.6847,328.5512,357.8,5254.19,4824.68,429.51,8.902,43.8572
2026-08-20 02:16:07,2026-08-20,AAPL,7.8556,307.28,311.89,2450.08,2413.87,36.21,1.5,20.6475
2026-08-20 02:16:07,2026-08-20,JPM,14.6847,328.5512,352.5,5176.36,4824.68,351.68,7.289,43.6226
2026-08-21 02:07:53,2026-08-21,AAPL,7.8556,307.28,309.35,2430.13,2413.87,16.26,0.674,20.5373
2026-08-21 02:07:53,2026-08-21,JPM,14.6847,328.5512,351.58,5162.85,4824.68,338.17,7.009,43.6317
2026-08-24 02:11:15,2026-08-24,AAPL,7.8556,307.28,311.12,2444.03,2413.87,30.17,1.25,20.5002
2026-08-24 02:11:15,2026-08-24,JPM,14.6847,328.5512,356.709,5238.16,4824.68,413.49,8.57,43.937
2026-08-25 02:17:01,2026-08-25,AAPL,7.8556,307.28,308.83,2426.04,2413.87,12.18,0.504,20.3469
2026-08-25 02:17:01,2026-08-25,IBM,10.3203,231.0256,233.5,2409.79,2384.25,25.54,1.071,20.2106
2026-08-25 02:17:01,2026-08-25,JPM,14.6847,328.5512,356.29,5232.01,4824.68,407.34,8.443,43.8802
2026-08-26 10:42:10,2026-08-26,AAPL,7.8556,307.28,310.29,2437.51,2413.87,23.65,0.98,20.5362
2026-08-26 10:42:10,2026-08-26,IBM,10.3203,231.0256,230.0,2373.67,2384.25,-10.58,-0.444,19.9983
2026-08-26 10:42:10,2026-08-26,JPM,14.6847,328.5512,354.29,5202.64,4824.68,377.97,7.834,43.8325
2026-08-27 12:19:57,2026-08-27,AAPL,7.8556,307.28,316.5751,2486.89,2413.87,73.02,3.025,20.7008
2026-08-27 12:19:57,2026-08-27,IBM,10.3203,231.0256,238.1732,2458.02,2384.25,73.77,3.094,20.4605
2026-08-27 12:19:57,2026-08-27,JPM,14.6847,328.5512,355.0,5213.07,4824.68,388.39,8.05,43.3934
2026-08-27 07:30:24,2026-08-27,AAPL,7.8556,307.28,319.7,2511.44,2413.87,97.57,4.042,20.842
2026-08-27 07:30:24,2026-08-27,IBM,10.3203,231.0256,235.59,2431.36,2384.25,47.11,1.976,20.1775
2026-08-27 07:30:24,2026-08-27,JPM,14.6847,328.5512,357.62,5251.54,4824.68,426.87,8.848,43.5817
2026-08-31 05:48:14,2026-08-31,AAPL,7.8556,307.28,316.25,2484.33,2413.87,70.46,2.919,20.7377
2026-08-31 05:48:14,2026-08-31,IBM,10.3203,231.0256,233.7,2411.85,2384.25,27.6,1.158,20.1327
2026-08-31 05:48:14,2026-08-31,JPM,14.6847,328.5512,356.02,5228.05,4824.68,403.37,8.361,43.6406
2026-09-01 05:10:54,2026-09-01,AAPL,7.8556,307.28,324.62,2550.08,2413.87,136.22,5.643,21.2274
2026-09-01 05:10:54,2026-09-01,IBM,10.3203,231.0256,231.3475,2387.58,2384.25,3.32,0.139,19.8747
2026-09-01 05:10:54,2026-09-01,JPM,14.6847,328.5512,355.47,5219.97,4824.68,395.29,8.193,43.4521
2026-09-02 05:15:52,2026-09-02,AAPL,7.8556,307.28,324.6,2549.93,2413.87,136.06,5.637,21.1813
2026-09-02 05:15:52,2026-09-02,IBM,10.3203,231.0256,231.93,2393.59,2384.25,9.33,0.391,19.8827
2026-09-02 05:15:52,2026-09-02,JPM,14.6847,328.5512,356.8,5239.5,4824.68,414.82,8.598,43.5227
2026-09-02 05:11:45,2026-09-02,AAPL,7.8556,307.28,328.15,2577.82,2413.87,163.95,6.792,21.1773
2026-09-02 05:11:45,2026-09-02,IBM,10.3203,231.0256,234.44,2419.49,2384.25,35.24,1.478,19.8766
2026-09-02 05:11:45,2026-09-02,JPM,14.6847,328.5512,362.26,5319.68,4824.68,495.0,10.26,43.7023
2026-09-04 05:00:35,2026-09-04,AAPL,7.8556,307.28,319.97,2513.56,2413.87,99.69,4.13,20.8425
2026-09-04 05:00:35,2026-09-04,IBM,10.3203,231.0256,234.89,2424.14,2384.25,39.88,1.673,20.101
2026-09-04 05:00:35,2026-09-04,JPM,14.6847,328.5512,358.64,5266.52,4824.68,441.84,9.158,43.6702
