Timestamp,Date,Equity,LastEquity,DailyPnL,DailyPnLPct,Cash,BuyingPower,LongMarketValue,ShortMarketValue,PositionCount,GrossExposure,Leverage,MarginDebt
2026-08-14 02:14:16,2026-08-14,12120.89,12013.92,106.97,0.8904,877.75,27840.21,11243.14,0.0,2,11243.14,0.9276,0.0
2026-08-17 02:08:49,2026-08-17,12003.01,12120.62,-117.61,-0.9703,4288.89,36358.21,7714.12,0.0,2,7714.12,0.6427,0.0
2026-08-18 02:10:46,2026-08-18,12011.19,12011.9,-0.71,-0.0059,4239.87,38719.17,7771.32,0.0,2,7771.32,0.647,0.0
2026-08-19 02:09:13,2026-08-19,11980.2,12009.49,-29.29,-0.2439,4239.8,38632.33,7740.4,0.0,2,7740.4,0.6461,0.0
2026-08-20 02:16:07,2026-08-20,11866.24,11974.95,-108.71,-0.9078,4239.8,38313.23,7626.44,0.0,2,7626.44,0.6427,0.0
2026-08-21 02:07:53,2026-08-21,11832.78,11847.65,-14.87,-0.1255,4239.8,38219.53,7592.98,0.0,2,7592.98,0.6417,0.0
2026-08-24 02:11:15,2026-08-24,11922.0,11832.78,89.22,0.754,4239.8,36087.17,7682.2,0.0,2,7682.2,0.6444,0.0
2026-08-25 02:17:01,2026-08-25,11923.4,11911.19,12.21,0.1025,1855.55,35612.17,10067.85,0.0,3,10067.85,0.8444,0.0
2026-08-26 10:42:10,2026-08-26,11869.37,11925.3,-55.93,-0.469,1855.54,35460.87,10013.83,0.0,3,10013.83,0.8437,0.0
2026-08-27 12:19:57,2026-08-27,12013.51,11992.75,20.76,0.1731,1855.54,35864.49,10157.97,0.0,3,10157.97,0.8455,0.0
2026-08-27 07:30:24,2026-08-27,12049.88,11992.75,57.13,0.4763,1855.54,35966.3,10194.34,0.0,3,10194.34,0.846,0.0
2026-08-31 05:48:14,2026-08-31,11979.77,12049.88,-70.11,-0.5818,1855.54,35770.02,10124.23,0.0,3,10124.23,0.8451,0.0
