Ticker,Model,WindowEnd,RSI_Trigger,Trail,Base_Sharpe,New_Sharpe,Delta_Sharpe,Legacy_Sharpe,Legacy_Delta,Base_Return,New_Return,Base_MaxDD,New_MaxDD,Delta_MaxDD,Days_Held,Legacy_Days_Held
NVDA,RF,2024-01-01,65,0.15,1.077,1.364,0.287,1.364,0.287,372.96,1082.24,-59.59,-63.24,-3.65,781,781
NVDA,RF,2024-01-01,65,0.2,1.077,1.302,0.225,1.302,0.225,372.96,953.84,-59.59,-69.07,-9.48,862,862
NVDA,LR,2023-01-01,0,0.08,0.939,1.041,0.102,0.93,-0.009,243.55,369.95,-57.72,-66.26,-8.54,571,687
NVDA,LR,2023-01-01,0,0.12,0.939,0.979,0.04,0.93,-0.009,243.55,330.33,-57.72,-66.26,-8.54,621,705
NVDA,LR,2023-01-01,0,0.15,0.939,0.981,0.042,0.93,-0.009,243.55,332.87,-57.72,-68.23,-10.51,672,717
NVDA,LR,2023-01-01,0,0.2,0.939,0.926,-0.013,0.93,-0.009,243.55,297.32,-57.72,-67.96,-10.24,790,813
NVDA,LR,2023-01-01,50,0.08,0.939,0.753,-0.186,0.681,-0.258,243.55,167.43,-57.72,-65.52,-7.8,451,476
NVDA,LR,2023-01-01,50,0.12,0.939,0.764,-0.175,0.677,-0.262,243.55,174.99,-57.72,-65.52,-7.8,481,506
NVDA,LR,2023-01-01,50,0.15,0.939,1.073,0.134,0.977,0.038,243.55,404.31,-57.72,-65.52,-7.8,607,619
NVDA,LR,2023-01-01,50,0.2,0.939,0.958,0.019,0.958,0.019,243.55,317.84,-57.72,-65.52,-7.8,685,685
NVDA,LR,2023-01-01,55,0.08,0.939,0.771,-0.168,0.63,-0.309,243.55,174.46,-57.72,-65.52,-7.8,362,374
NVDA,LR,2023-01-01,55,0.12,0.939,0.714,-0.225,0.593,-0.346,243.55,148.42,-57.72,-65.52,-7.8,381,391
NVDA,LR,2023-01-01,55,0.15,0.939,0.991,0.052,0.895,-0.044,243.55,324.57,-57.72,-65.52,-7.8,555,567
NVDA,LR,2023-01-01,55,0.2,0.939,0.877,-0.062,0.877,-0.062,243.55,251.77,-57.72,-65.52,-7.8,618,618
NVDA,LR,2023-01-01,60,0.08,0.939,0.871,-0.068,0.725,-0.214,243.55,225.11,-57.72,-65.52,-7.8,355,367
NVDA,LR,2023-01-01,60,0.12,0.939,0.813,-0.126,0.687,-0.252,243.55,194.25,-57.72,-65.52,-7.8,374,384
NVDA,LR,2023-01-01,60,0.15,0.939,0.991,0.052,0.991,0.052,243.55,324.57,-57.72,-65.52,-7.8,555,555
NVDA,LR,2023-01-01,60,0.2,0.939,0.877,-0.062,0.877,-0.062,243.55,251.77,-57.72,-65.52,-7.8,618,618
NVDA,LR,2023-01-01,65,0.08,0.939,0.819,-0.12,0.8,-0.139,243.55,192.1,-57.72,-65.52,-7.8,267,269
NVDA,LR,2023-01-01,65,0.12,0.939,0.768,-0.171,0.768,-0.171,243.55,168.13,-57.72,-65.52,-7.8,283,283
NVDA,LR,2023-01-01,65,0.15,0.939,0.769,-0.17,0.769,-0.17,243.55,168.73,-57.72,-65.52,-7.8,289,289
NVDA,LR,2023-01-01,65,0.2,0.939,0.884,-0.055,0.884,-0.055,243.55,255.83,-57.72,-65.52,-7.8,589,589
NVDA,RF,2023-01-01,0,0.08,0.624,1.037,0.413,0.93,0.306,95.41,379.45,-59.37,-59.66,-0.29,742,834
NVDA,RF,2023-01-01,0,0.12,0.624,0.991,0.367,0.93,0.306,95.41,343.13,-59.37,-60.76,-1.39,779,860
NVDA,RF,2023-01-01,0,0.15,0.624,0.918,0.294,0.93,0.306,95.41,285.85,-59.37,-62.01,-2.64,799,882
NVDA,RF,2023-01-01,0,0.2,0.624,0.965,0.341,0.93,0.306,95.41,319.86,-59.37,-61.97,-2.6,837,930
NVDA,RF,2023-01-01,50,0.08,0.624,0.915,0.291,0.919,0.295,95.41,252.74,-59.37,-65.48,-6.11,609,616
NVDA,RF,2023-01-01,50,0.12,0.624,0.894,0.27,0.894,0.27,95.41,241.51,-59.37,-63.25,-3.88,646,646
NVDA,RF,2023-01-01,50,0.15,0.624,0.97,0.346,0.97,0.346,95.41,294.67,-59.37,-63.25,-3.88,683,683
NVDA,RF,2023-01-01,50,0.2,0.624,0.925,0.301,0.925,0.301,95.41,276.99,-59.37,-66.37,-7.0,749,749
NVDA,RF,2023-01-01,55,0.08,0.624,0.934,0.31,0.902,0.278,95.41,261.35,-59.37,-65.48,-6.11,523,528
NVDA,RF,2023-01-01,55,0.12,0.624,0.912,0.288,0.912,0.288,95.41,249.85,-59.37,-63.25,-3.88,558,558
NVDA,RF,2023-01-01,55,0.15,0.624,0.958,0.334,0.958,0.334,95.41,282.83,-59.37,-63.25,-3.88,646,646
NVDA,RF,2023-01-01,55,0.2,0.624,0.9,0.276,0.9,0.276,95.41,257.28,-59.37,-66.37,-7.0,728,728
NVDA,RF,2023-01-01,60,0.08,0.624,0.946,0.322,0.946,0.322,95.41,267.42,-59.37,-64.57,-5.2,493,493
NVDA,RF,2023-01-01,60,0.12,0.624,0.909,0.285,0.909,0.285,95.41,246.63,-59.37,-63.25,-3.88,532,532
NVDA,RF,2023-01-01,60,0.15,0.624,0.947,0.323,0.947,0.323,95.41,274.14,-59.37,-63.25,-3.88,634,634
NVDA,RF,2023-01-01,60,0.2,0.624,0.9,0.276,0.9,0.276,95.41,257.28,-59.37,-66.37,-7.0,728,728
NVDA,RF,2023-01-01,65,0.08,0.624,0.809,0.185,0.809,0.185,95.41,187.87,-59.37,-64.92,-5.55,467,467
NVDA,RF,2023-01-01,65,0.12,0.624,0.909,0.285,0.909,0.285,95.41,246.63,-59.37,-63.25,-3.88,532,532
NVDA,RF,2023-01-01,65,0.15,0.624,0.947,0.323,0.947,0.323,95.41,274.14,-59.37,-63.25,-3.88,634,634
NVDA,RF,2023-01-01,65,0.2,0.624,0.9,0.276,0.9,0.276,95.41,257.28,-59.37,-66.37,-7.0,728,728
NVDA,LR,2022-01-01,0,0.08,0.767,1.267,0.5,1.129,0.362,112.03,402.14,-60.34,-59.83,0.51,544,666
NVDA,LR,2022-01-01,0,0.12,0.767,1.134,0.367,1.129,0.362,112.03,319.21,-60.34,-59.83,0.51,570,665
NVDA,LR,2022-01-01,0,0.15,0.767,1.192,0.425,1.129,0.362,112.03,368.42,-60.34,-59.83,0.51,635,696
NVDA,LR,2022-01-01,0,0.2,0.767,1.083,0.316,1.129,0.362,112.03,313.29,-60.34,-59.83,0.51,699,748
NVDA,LR,2022-01-01,50,0.08,0.767,0.995,0.228,0.812,0.045,112.03,220.93,-60.34,-59.83,0.51,476,482
NVDA,LR,2022-01-01,50,0.12,0.767,0.879,0.112,0.741,-0.026,112.03,172.76,-60.34,-59.83,0.51,496,514
NVDA,LR,2022-01-01,50,0.15,0.767,1.192,0.425,1.072,0.305,112.03,368.42,-60.34,-59.83,0.51,635,638
NVDA,LR,2022-01-01,50,0.2,0.767,1.083,0.316,1.083,0.316,112.03,313.29,-60.34,-59.83,0.51,699,699
NVDA,LR,2022-01-01,55,0.08,0.767,1.073,0.306,0.882,0.115,112.03,251.39,-60.34,-59.83,0.51,402,408
NVDA,LR,2022-01-01,55,0.12,0.767,0.963,0.196,0.801,0.034,112.03,202.61,-60.34,-59.83,0.51,418,422
NVDA,LR,2022-01-01,55,0.15,0.767,1.14,0.373,1.019,0.252,112.03,321.47,-60.34,-59.83,0.51,593,596
NVDA,LR,2022-01-01,55,0.2,0.767,1.083,0.316,1.083,0.316,112.03,310.8,-60.34,-59.83,0.51,697,697
NVDA,LR,2022-01-01,60,0.08,0.767,1.072,0.305,0.882,0.115,112.03,249.93,-60.34,-59.83,0.51,396,408
NVDA,LR,2022-01-01,60,0.12,0.767,0.962,0.195,0.801,0.034,112.03,201.36,-60.34,-59.83,0.51,412,422
NVDA,LR,2022-01-01,60,0.15,0.767,1.139,0.372,1.139,0.372,112.03,319.73,-60.34,-59.83,0.51,584,584
NVDA,LR,2022-01-01,60,0.2,0.767,1.083,0.316,1.083,0.316,112.03,310.8,-60.34,-59.83,0.51,697,697
NVDA,LR,2022-01-01,65,0.08,0.767,1.102,0.335,1.077,0.31,112.03,259.97,-60.34,-59.83,0.51,341,343
NVDA,LR,2022-01-01,65,0.12,0.767,0.99,0.223,0.99,0.223,112.03,210.0,-60.34,-59.83,0.51,356,356
NVDA,LR,2022-01-01,65,0.15,0.767,1.224,0.457,1.224,0.457,112.03,367.67,-60.34,-59.83,0.51,468,468
NVDA,LR,2022-01-01,65,0.2,0.767,1.048,0.281,1.048,0.281,112.03,285.08,-60.34,-59.83,0.51,640,640
NVDA,RF,2022-01-01,0,0.08,0.905,1.111,0.206,1.129,0.224,157.09,337.35,-49.4,-50.71,-1.31,681,720
NVDA,RF,2022-01-01,0,0.12,0.905,1.198,0.293,1.129,0.224,157.09,409.44,-49.4,-50.71,-1.31,706,739
NVDA,RF,2022-01-01,0,0.15,0.905,1.198,0.293,1.129,0.224,157.09,409.44,-49.4,-50.71,-1.31,718,755
NVDA,RF,2022-01-01,0,0.2,0.905,1.188,0.283,1.129,0.224,157.09,401.45,-49.4,-51.48,-2.08,765,797
NVDA,RF,2022-01-01,50,0.08,0.905,0.96,0.055,0.976,0.071,157.09,235.88,-49.4,-50.71,-1.31,599,606
NVDA,RF,2022-01-01,50,0.12,0.905,0.931,0.026,0.947,0.042,157.09,220.58,-49.4,-50.71,-1.31,626,633
NVDA,RF,2022-01-01,50,0.15,0.905,1.072,0.167,1.088,0.183,157.09,307.94,-49.4,-50.71,-1.31,667,674
NVDA,RF,2022-01-01,50,0.2,0.905,1.045,0.14,1.061,0.156,157.09,288.99,-49.4,-51.48,-2.08,726,733
NVDA,RF,2022-01-01,55,0.08,0.905,1.083,0.178,1.1,0.195,157.09,307.53,-49.4,-50.71,-1.31,554,561
NVDA,RF,2022-01-01,55,0.12,0.905,1.054,0.149,1.07,0.165,157.09,288.96,-49.4,-50.71,-1.31,579,586
NVDA,RF,2022-01-01,55,0.15,0.905,1.157,0.252,1.173,0.268,157.09,366.34,-49.4,-50.71,-1.31,645,652
NVDA,RF,2022-01-01,55,0.2,0.905,1.083,0.178,1.099,0.194,157.09,313.52,-49.4,-51.48,-2.08,718,725
NVDA,RF,2022-01-01,60,0.08,0.905,1.173,0.268,1.173,0.268,157.09,343.33,-49.4,-51.28,-1.88,456,456
NVDA,RF,2022-01-01,60,0.12,0.905,1.141,0.236,1.141,0.236,157.09,323.17,-49.4,-51.28,-1.88,485,485
NVDA,RF,2022-01-01,60,0.15,0.905,1.16,0.255,1.16,0.255,157.09,342.86,-49.4,-51.28,-1.88,594,594
NVDA,RF,2022-01-01,60,0.2,0.905,1.022,0.117,1.022,0.117,157.09,272.26,-49.4,-52.05,-2.65,697,697
NVDA,RF,2022-01-01,65,0.08,0.905,1.074,0.169,1.074,0.169,157.09,276.49,-49.4,-51.28,-1.88,424,424
NVDA,RF,2022-01-01,65,0.12,0.905,1.037,0.132,1.037,0.132,157.09,256.33,-49.4,-51.28,-1.88,451,451
NVDA,RF,2022-01-01,65,0.15,0.905,1.091,0.186,1.091,0.186,157.09,295.29,-49.4,-51.28,-1.88,575,575
NVDA,RF,2022-01-01,65,0.2,0.905,0.955,0.05,0.955,0.05,157.09,232.28,-49.4,-52.05,-2.65,678,678
NVDA,LR,2021-01-01,0,0.08,0.657,0.698,0.041,0.736,0.079,81.82,96.9,-55.53,-56.95,-1.42,399,462
NVDA,LR,2021-01-01,0,0.12,0.657,0.636,-0.021,0.736,0.079,81.82,80.74,-55.53,-56.95,-1.42,429,495
NVDA,LR,2021-01-01,0,0.15,0.657,0.669,0.012,0.736,0.079,81.82,89.33,-55.53,-56.95,-1.42,494,527
NVDA,LR,2021-01-01,0,0.2,0.657,0.669,0.012,0.736,0.079,81.82,89.33,-55.53,-56.95,-1.42,532,570
NVDA,LR,2021-01-01,50,0.08,0.657,0.698,0.041,0.736,0.079,81.82,96.9,-55.53,-56.95,-1.42,399,462
NVDA,LR,2021-01-01,50,0.12,0.657,0.636,-0.021,0.736,0.079,81.82,80.74,-55.53,-56.95,-1.42,429,495
NVDA,LR,2021-01-01,50,0.15,0.657,0.669,0.012,0.736,0.079,81.82,89.33,-55.53,-56.95,-1.42,494,527
NVDA,LR,2021-01-01,50,0.2,0.657,0.669,0.012,0.736,0.079,81.82,89.33,-55.53,-56.95,-1.42,532,570
NVDA,LR,2021-01-01,55,0.08,0.657,0.712,0.055,0.75,0.093,81.82,100.92,-55.53,-56.95,-1.42,369,432
NVDA,LR,2021-01-01,55,0.12,0.657,0.651,-0.006,0.711,0.054,81.82,84.43,-55.53,-56.95,-1.42,399,463
NVDA,LR,2021-01-01,55,0.15,0.657,0.669,0.012,0.736,0.079,81.82,89.33,-55.53,-56.95,-1.42,494,527
NVDA,LR,2021-01-01,55,0.2,0.657,0.669,0.012,0.736,0.079,81.82,89.33,-55.53,-56.95,-1.42,532,570
NVDA,LR,2021-01-01,60,0.08,0.657,0.744,0.087,0.72,0.063,81.82,107.26,-55.53,-55.01,0.52,343,345
NVDA,LR,2021-01-01,60,0.12,0.657,0.64,-0.017,0.64,-0.017,81.82,80.47,-55.53,-56.95,-1.42,375,375
NVDA,LR,2021-01-01,60,0.15,0.657,0.659,0.002,0.729,0.072,81.82,85.26,-55.53,-56.95,-1.42,467,500
NVDA,LR,2021-01-01,60,0.2,0.657,0.669,0.012,0.736,0.079,81.82,89.33,-55.53,-56.95,-1.42,532,570
NVDA,LR,2021-01-01,65,0.08,0.657,0.821,0.164,0.797,0.14,81.82,129.98,-55.53,-55.01,0.52,236,238
NVDA,LR,2021-01-01,65,0.12,0.657,0.734,0.077,0.734,0.077,81.82,105.16,-55.53,-56.95,-1.42,318,318
NVDA,LR,2021-01-01,65,0.15,0.657,0.76,0.103,0.76,0.103,81.82,112.67,-55.53,-56.95,-1.42,363,363
NVDA,LR,2021-01-01,65,0.2,0.657,0.749,0.092,0.749,0.092,81.82,112.39,-55.53,-56.95,-1.42,456,456
NVDA,RF,2021-01-01,0,0.08,0.541,0.608,0.067,0.736,0.195,55.36,73.3,-60.05,-61.32,-1.27,493,538
NVDA,RF,2021-01-01,0,0.12,0.541,0.637,0.096,0.736,0.195,55.36,80.74,-60.05,-61.32,-1.27,522,557
NVDA,RF,2021-01-01,0,0.15,0.541,0.637,0.096,0.736,0.195,55.36,80.74,-60.05,-61.32,-1.27,558,611
NVDA,RF,2021-01-01,0,0.2,0.541,0.677,0.136,0.736,0.195,55.36,91.29,-60.05,-61.32,-1.27,609,641
NVDA,RF,2021-01-01,50,0.08,0.541,0.586,0.045,0.586,0.045,55.36,68.02,-60.05,-59.58,0.47,474,474
NVDA,RF,2021-01-01,50,0.12,0.541,0.6,0.059,0.6,0.059,55.36,71.38,-60.05,-61.32,-1.27,516,516
NVDA,RF,2021-01-01,50,0.15,0.541,0.637,0.096,0.637,0.096,55.36,80.74,-60.05,-61.32,-1.27,558,558
NVDA,RF,2021-01-01,50,0.2,0.541,0.677,0.136,0.677,0.136,55.36,91.29,-60.05,-61.32,-1.27,609,609
NVDA,RF,2021-01-01,55,0.08,0.541,0.609,0.068,0.609,0.068,55.36,73.25,-60.05,-59.58,0.47,412,412
NVDA,RF,2021-01-01,55,0.12,0.541,0.656,0.115,0.656,0.115,55.36,85.23,-60.05,-59.45,0.6,447,447
NVDA,RF,2021-01-01,55,0.15,0.541,0.692,0.151,0.692,0.151,55.36,94.78,-60.05,-59.45,0.6,497,497
NVDA,RF,2021-01-01,55,0.2,0.541,0.731,0.19,0.731,0.19,55.36,106.15,-60.05,-59.45,0.6,548,548
NVDA,RF,2021-01-01,60,0.08,0.541,0.789,0.248,0.789,0.248,55.36,117.3,-60.05,-59.58,0.47,384,384
NVDA,RF,2021-01-01,60,0.12,0.541,0.834,0.293,0.834,0.293,55.36,131.4,-60.05,-59.45,0.6,419,419
NVDA,RF,2021-01-01,60,0.15,0.541,0.87,0.329,0.87,0.329,55.36,143.08,-60.05,-59.45,0.6,466,466
NVDA,RF,2021-01-01,60,0.2,0.541,0.731,0.19,0.731,0.19,55.36,106.15,-60.05,-59.45,0.6,548,548
NVDA,RF,2021-01-01,65,0.08,0.541,0.771,0.23,0.771,0.23,55.36,111.42,-60.05,-61.08,-1.03,307,307
NVDA,RF,2021-01-01,65,0.12,0.541,0.881,0.34,0.881,0.34,55.36,146.15,-60.05,-59.45,0.6,413,413
NVDA,RF,2021-01-01,65,0.15,0.541,0.918,0.377,0.918,0.377,55.36,158.59,-60.05,-59.45,0.6,460,460
NVDA,RF,2021-01-01,65,0.2,0.541,0.731,0.19,0.731,0.19,55.36,106.15,-60.05,-59.45,0.6,548,548
TSLA,LR,2024-01-01,0,0.08,0.963,1.125,0.162,1.274,0.311,426.74,809.77,-63.12,-63.61,-0.49,305,712
TSLA,LR,2024-01-01,0,0.12,0.963,1.201,0.238,1.274,0.311,426.74,1030.47,-63.12,-63.5,-0.38,411,790
TSLA,LR,2024-01-01,0,0.15,0.963,1.284,0.321,1.274,0.311,426.74,1346.57,-63.12,-66.47,-3.35,631,888
TSLA,LR,2024-01-01,0,0.2,0.963,1.353,0.39,1.274,0.311,426.74,1704.08,-63.12,-60.63,2.49,750,978
TSLA,LR,2024-01-01,50,0.08,0.963,0.848,-0.115,0.848,-0.115,426.74,324.58,-63.12,-63.12,0.0,144,144
