Year,Mom6_20pct,Mom9_10pct,Benchmark,Diff
2016,3.1161002785204728,1.5623829119607802,4.919700313872233,-1.80360003535176
2017,22.926609341416636,33.85387469589878,18.829103818293767,4.097505523122869
2018,-2.4421467210203995,-7.449490086203858,-6.253454238450617,3.8113075174302176
2019,19.33967268089123,28.07196417339297,27.701952580828703,-8.362279899937473
2020,3.16058050671566,5.640464147728252,5.646501217032762,-2.485920710317102
2021,29.73422311731191,33.01977076071863,27.817718798304504,1.9165043190074051
2022,-0.06910829132049656,3.262965600551815,-3.034062305117202,2.9649540137967056
2023,9.3453726173516,10.809958381865714,11.177841455215475,-1.8324688378638747
2024,17.9993682584509,13.832610656431532,9.33305827203319,8.66630998641771
2025,30.202169064333372,30.611885659437267,13.460024587201236,16.742144477132136
2026,30.231534564173913,46.18757471217445,21.71914095848051,8.512393605693404
