test,lookback,top_n,cost_bps,total,cagr,sharpe,maxdd,period
grid,3,3,5,7.220049027830799,0.6995663093036786,0.14085660787244345,-56.01769160873646,
grid,3,5,5,17.948398169429947,1.664470890371983,0.18124584582728098,-44.94776188021265,
grid,3,8,5,84.23274912243888,6.300836792024134,0.44363386405890265,-30.279870522140584,
grid,3,12,5,91.34465738742279,6.704229476216317,0.4881256294427456,-30.049774230066863,
grid,6,3,5,16.589074172023643,1.5466931761476177,0.17652479324449527,-36.19134876638259,
grid,6,5,5,109.7942776091307,7.690988605394966,0.46812287526152385,-26.371885026410226,
grid,6,8,5,154.08430572619025,9.773568912948182,0.6203503214124807,-22.848451299295046,
grid,6,12,5,78.95540919695452,5.992340684386077,0.4579440567818227,-23.66781639774487,
grid,9,3,5,88.24836107158724,6.530292725420028,0.3749414543048098,-41.07679210202504,
grid,9,5,5,51.31449247161921,4.2288755615359275,0.307793037832096,-45.387912224577306,
grid,9,8,5,68.02191903665857,5.326243227732541,0.3963222458823536,-37.28177927747043,
grid,9,12,5,105.97110532745364,7.4931104572694585,0.5558327592583481,-25.884787242654795,
grid,12,3,5,29.182868314622358,2.5936526513678837,0.22176971878159968,-54.23092901986677,
grid,12,5,5,28.61997238751446,2.5488610320113736,0.22320322364444273,-44.18877601041742,
grid,12,8,5,46.46078932912967,3.889615047439343,0.30954844358208133,-37.53288013349294,
grid,12,12,5,90.17760486352526,6.638968936629852,0.497266526558901,-21.992333880065583,
grid,18,3,5,18.70364012228314,1.729381417918141,0.19113528066863145,-62.416213896719086,
grid,18,5,5,44.79513876977366,3.770855743633139,0.2830502494984656,-43.681098257832964,
grid,18,8,5,62.64875288214762,4.984473304100345,0.3718964317381813,-31.234166514157792,
grid,18,12,5,39.96639364951242,3.4194865483317294,0.2921731532735191,-31.52925666700269,
subperiod,6,8,5,60.83037942276419,10.147126070332902,0.6479438449535614,-20.849587264046466,first half
subperiod,6,8,5,58.897487651345855,9.70423823353961,0.6017126997397054,-22.848451299295014,second half
cost,6,8,5,154.08430572619025,9.773568912948182,0.6203503214124807,-22.848451299295046,
cost,6,8,15,133.65519231301198,8.857296335914345,0.5721110057819387,-24.09317709985752,
cost,6,8,30,106.02266907474664,7.495801185784523,0.4997279614014425,-25.92481294574308,
