Ticker,Model,WindowEnd,Arm,Trail,Base_Sharpe,New_Sharpe,Delta_Sharpe,Base_Return,New_Return,Delta_Return,Base_MaxDD,New_MaxDD,Delta_MaxDD,Days_Held
TSLA,LR,2024-01-01,trail_only,0.08,0.963,0.475,-0.488,426.74,76.47,-350.27,-63.12,-73.85,-10.73,698
TSLA,LR,2024-01-01,trail_only,0.12,0.963,1.091,0.128,426.74,676.97,250.23,-63.12,-69.92,-6.8,869
TSLA,LR,2024-01-01,trail_only,0.15,0.963,1.199,0.236,426.74,912.54,485.8,-63.12,-66.51,-3.39,838
TSLA,LR,2024-01-01,trail_only,0.2,0.963,1.313,0.35,426.74,1338.91,912.17,-63.12,-53.98,9.14,860
TSLA,RF,2024-01-01,buy_and_hold,,0.401,1.253,0.852,54.07,1488.97,1434.9,-64.38,-73.63,-9.25,1108
TSLA,RF,2024-01-01,trail_only,0.08,0.401,0.962,0.561,54.07,490.38,436.31,-64.38,-64.39,-0.01,894
TSLA,RF,2024-01-01,trail_only,0.12,0.401,1.002,0.601,54.07,589.67,535.6,-64.38,-71.85,-7.47,982
TSLA,RF,2024-01-01,trail_only,0.15,0.401,1.012,0.611,54.07,616.99,562.92,-64.38,-77.63,-13.25,1041
TSLA,RF,2024-01-01,trail_only,0.2,0.401,1.288,0.887,54.07,1525.96,1471.89,-64.38,-73.39,-9.01,1088
TSLA,LR,2023-01-01,buy_and_hold,,0.332,1.005,0.673,22.81,501.89,479.08,-62.15,-73.39,-11.24,983
TSLA,LR,2023-01-01,trail_only,0.08,0.332,0.308,-0.024,22.81,10.74,-12.07,-62.15,-78.32,-16.17,676
TSLA,LR,2023-01-01,trail_only,0.12,0.332,0.478,0.146,22.81,60.21,37.4,-62.15,-83.7,-21.55,795
TSLA,LR,2023-01-01,trail_only,0.15,0.332,0.84,0.508,22.81,267.28,244.47,-62.15,-78.17,-16.02,834
TSLA,LR,2023-01-01,trail_only,0.2,0.332,1.121,0.789,22.81,648.03,625.22,-62.15,-62.2,-0.05,907
TSLA,RF,2023-01-01,buy_and_hold,,0.221,1.005,0.784,6.95,501.89,494.94,-55.92,-73.39,-17.47,983
TSLA,RF,2023-01-01,trail_only,0.08,0.221,0.641,0.42,6.95,131.0,124.05,-55.92,-71.38,-15.46,775
TSLA,RF,2023-01-01,trail_only,0.12,0.221,0.815,0.594,6.95,251.34,244.39,-55.92,-73.51,-17.59,850
TSLA,RF,2023-01-01,trail_only,0.15,0.221,0.719,0.498,6.95,178.13,171.18,-55.92,-76.78,-20.86,883
TSLA,RF,2023-01-01,trail_only,0.2,0.221,1.009,0.788,6.95,484.9,477.95,-55.92,-70.23,-14.31,964
TSLA,LR,2022-01-01,buy_and_hold,,1.232,1.493,0.261,544.75,1344.74,799.99,-48.74,-60.63,-11.89,857
TSLA,LR,2022-01-01,trail_only,0.08,1.232,0.811,-0.421,544.75,192.62,-352.13,-48.74,-55.58,-6.84,709
TSLA,LR,2022-01-01,trail_only,0.12,1.232,1.178,-0.054,544.75,530.45,-14.3,-48.74,-60.49,-11.75,794
TSLA,LR,2022-01-01,trail_only,0.15,1.232,1.488,0.256,544.75,1147.3,602.55,-48.74,-53.55,-4.81,830
TSLA,LR,2022-01-01,trail_only,0.2,1.232,1.617,0.385,544.75,1551.43,1006.68,-48.74,-53.18,-4.44,805
TSLA,RF,2022-01-01,buy_and_hold,,0.64,1.493,0.853,85.99,1344.74,1258.75,-41.12,-60.63,-19.51,857
TSLA,RF,2022-01-01,trail_only,0.08,0.64,1.088,0.448,85.99,381.43,295.44,-41.12,-57.93,-16.81,697
TSLA,RF,2022-01-01,trail_only,0.12,0.64,1.358,0.718,85.99,737.82,651.83,-41.12,-52.57,-11.45,744
TSLA,RF,2022-01-01,trail_only,0.15,0.64,1.334,0.694,85.99,728.69,642.7,-41.12,-53.55,-12.43,784
TSLA,RF,2022-01-01,trail_only,0.2,0.64,1.461,0.821,85.99,1070.94,984.95,-41.12,-53.01,-11.89,828
TSLA,LR,2021-01-01,buy_and_hold,,1.647,1.489,-0.158,959.77,927.23,-32.54,-51.57,-60.63,-9.06,731
TSLA,LR,2021-01-01,trail_only,0.08,1.647,0.996,-0.651,959.77,263.88,-695.89,-51.57,-59.14,-7.57,644
TSLA,LR,2021-01-01,trail_only,0.12,1.647,1.467,-0.18,959.77,762.78,-196.99,-51.57,-52.15,-0.58,687
TSLA,LR,2021-01-01,trail_only,0.15,1.647,1.713,0.066,959.77,1292.9,333.13,-51.57,-54.49,-2.92,703
TSLA,LR,2021-01-01,trail_only,0.2,1.647,1.668,0.021,959.77,1204.03,244.26,-51.57,-52.76,-1.19,700
TSLA,RF,2021-01-01,buy_and_hold,,0.28,1.489,1.209,10.75,927.23,916.48,-57.1,-60.63,-3.53,731
TSLA,RF,2021-01-01,trail_only,0.08,0.28,1.022,0.742,10.75,270.62,259.87,-57.1,-57.02,0.08,634
TSLA,RF,2021-01-01,trail_only,0.12,0.28,1.468,1.188,10.75,761.39,750.64,-57.1,-52.57,4.53,692
TSLA,RF,2021-01-01,trail_only,0.15,0.28,1.416,1.136,10.75,695.62,684.87,-57.1,-54.49,2.61,685
TSLA,RF,2021-01-01,trail_only,0.2,0.28,1.556,1.276,10.75,947.39,936.64,-57.1,-63.36,-6.26,707
AAPL,LR,2024-01-01,buy_and_hold,,0.839,1.07,0.231,137.48,297.34,159.86,-31.53,-31.43,0.1,1108
AAPL,LR,2024-01-01,trail_only,0.08,0.839,1.17,0.331,137.48,291.82,154.34,-31.53,-40.22,-8.69,972
AAPL,LR,2024-01-01,trail_only,0.12,0.839,0.769,-0.07,137.48,144.52,7.04,-31.53,-49.26,-17.73,1006
AAPL,LR,2024-01-01,trail_only,0.15,0.839,0.777,-0.062,137.48,140.92,3.44,-31.53,-39.67,-8.14,986
AAPL,LR,2024-01-01,trail_only,0.2,0.839,1.098,0.259,137.48,273.36,135.88,-31.53,-32.04,-0.51,1034
AAPL,RF,2024-01-01,buy_and_hold,,0.602,1.07,0.468,77.35,297.34,219.99,-29.28,-31.43,-2.15,1108
AAPL,RF,2024-01-01,trail_only,0.08,0.602,1.223,0.621,77.35,340.91,263.56,-29.28,-37.53,-8.25,1063
AAPL,RF,2024-01-01,trail_only,0.12,0.602,0.903,0.301,77.35,200.93,123.58,-29.28,-37.18,-7.9,1082
AAPL,RF,2024-01-01,trail_only,0.15,0.602,0.847,0.245,77.35,174.14,96.79,-29.28,-39.83,-10.55,1088
AAPL,RF,2024-01-01,trail_only,0.2,0.602,1.041,0.439,77.35,260.2,182.85,-29.28,-37.57,-8.29,1096
AAPL,LR,2023-01-01,buy_and_hold,,1.003,1.006,0.003,155.55,217.12,61.57,-26.01,-31.43,-5.42,983
AAPL,LR,2023-01-01,trail_only,0.08,1.003,0.999,-0.004,155.55,182.27,26.72,-26.01,-39.76,-13.75,862
AAPL,LR,2023-01-01,trail_only,0.12,1.003,0.722,-0.281,155.55,105.87,-49.68,-26.01,-47.82,-21.81,899
AAPL,LR,2023-01-01,trail_only,0.15,1.003,0.729,-0.274,155.55,105.66,-49.89,-26.01,-38.6,-12.59,872
AAPL,LR,2023-01-01,trail_only,0.2,1.003,1.042,0.039,155.55,204.83,49.28,-26.01,-30.39,-4.38,910
AAPL,RF,2023-01-01,buy_and_hold,,0.592,1.006,0.414,64.98,217.12,152.14,-28.39,-31.43,-3.04,983
AAPL,RF,2023-01-01,trail_only,0.08,0.592,1.068,0.476,64.98,218.03,153.05,-28.39,-35.76,-7.37,941
AAPL,RF,2023-01-01,trail_only,0.12,0.592,0.72,0.128,64.98,109.38,44.4,-28.39,-41.25,-12.86,961
AAPL,RF,2023-01-01,trail_only,0.15,0.592,0.75,0.158,64.98,117.1,52.12,-28.39,-37.13,-8.74,965
AAPL,RF,2023-01-01,trail_only,0.2,0.592,0.931,0.339,64.98,175.15,110.17,-28.39,-35.69,-7.3,974
AAPL,LR,2022-01-01,buy_and_hold,,0.753,1.226,0.473,67.5,251.46,183.96,-29.48,-38.52,-9.04,857
AAPL,LR,2022-01-01,trail_only,0.08,0.753,1.602,0.849,67.5,348.81,281.31,-29.48,-31.24,-1.76,736
AAPL,LR,2022-01-01,trail_only,0.12,0.753,1.191,0.438,67.5,205.98,138.48,-29.48,-38.81,-9.33,779
AAPL,LR,2022-01-01,trail_only,0.15,0.753,1.297,0.544,67.5,244.27,176.77,-29.48,-31.06,-1.58,784
AAPL,LR,2022-01-01,trail_only,0.2,0.753,1.228,0.475,67.5,224.05,156.55,-29.48,-34.02,-4.54,797
AAPL,RF,2022-01-01,buy_and_hold,,0.687,1.226,0.539,60.92,251.46,190.54,-30.18,-38.52,-8.34,857
AAPL,RF,2022-01-01,trail_only,0.08,0.687,1.421,0.734,60.92,282.2,221.28,-30.18,-34.34,-4.16,799
AAPL,RF,2022-01-01,trail_only,0.12,0.687,1.037,0.35,60.92,165.51,104.59,-30.18,-40.78,-10.6,832
AAPL,RF,2022-01-01,trail_only,0.15,0.687,1.101,0.414,60.92,186.24,125.32,-30.18,-37.08,-6.9,836
AAPL,RF,2022-01-01,trail_only,0.2,0.687,1.243,0.556,60.92,235.8,174.88,-30.18,-38.68,-8.5,839
AAPL,LR,2021-01-01,buy_and_hold,,1.186,1.343,0.157,113.19,243.92,130.73,-24.67,-38.52,-13.85,731
AAPL,LR,2021-01-01,trail_only,0.08,1.186,1.797,0.611,113.19,359.69,246.5,-24.67,-36.56,-11.89,679
AAPL,LR,2021-01-01,trail_only,0.12,1.186,1.384,0.198,113.19,226.58,113.39,-24.67,-40.78,-16.11,703
AAPL,LR,2021-01-01,trail_only,0.15,1.186,1.496,0.31,113.19,266.4,153.21,-24.67,-34.38,-9.71,707
AAPL,LR,2021-01-01,trail_only,0.2,1.186,1.386,0.2,113.19,232.96,119.77,-24.67,-36.58,-11.91,718
AAPL,RF,2021-01-01,buy_and_hold,,0.458,1.343,0.885,31.1,243.92,212.82,-28.39,-38.52,-10.13,731
AAPL,RF,2021-01-01,trail_only,0.08,0.458,1.632,1.174,31.1,290.27,259.17,-28.39,-36.56,-8.17,685
AAPL,RF,2021-01-01,trail_only,0.12,0.458,1.296,0.838,31.1,197.63,166.53,-28.39,-40.78,-12.39,713
AAPL,RF,2021-01-01,trail_only,0.15,0.458,1.436,0.978,31.1,243.65,212.55,-28.39,-34.38,-5.99,716
AAPL,RF,2021-01-01,trail_only,0.2,0.458,1.34,0.882,31.1,217.01,185.91,-28.39,-36.58,-8.19,714
JPM,LR,2024-01-01,buy_and_hold,,0.267,0.504,0.237,26.61,77.35,50.74,-36.29,-43.63,-7.34,1108
JPM,LR,2024-01-01,trail_only,0.08,0.267,0.277,0.01,26.61,28.19,1.58,-36.29,-43.22,-6.93,994
JPM,LR,2024-01-01,trail_only,0.12,0.267,0.426,0.159,26.61,54.86,28.25,-36.29,-39.6,-3.31,1055
JPM,LR,2024-01-01,trail_only,0.15,0.267,0.421,0.154,26.61,54.4,27.79,-36.29,-47.74,-11.45,1073
JPM,LR,2024-01-01,trail_only,0.2,0.267,0.528,0.261,26.61,79.08,52.47,-36.29,-39.39,-3.1,1089
