test,lookback,pct,total,cagr,sharpe,maxdd,period,cost_bps
grid,3,0.1,321.4624452189562,15.471787371529345,0.7899325698881128,-27.185349592411832,,
grid,3,0.2,229.5516766241539,12.665864267060446,0.7538469686821427,-27.329245580941574,,
grid,3,0.3,234.0632434575143,12.819161947898694,0.7867908867847078,-27.892356278705655,,
grid,3,0.4,239.7819445433192,13.010820935396893,0.8284222425367679,-28.000769095660637,,
grid,6,0.1,428.5404989795353,18.115754105928495,0.9141502604246495,-31.65783392247067,,
grid,6,0.2,355.28237320557423,16.366529893718628,0.940763219879079,-29.500764386478828,,
grid,6,0.3,293.93066144913104,14.694337861628902,0.9211694197136825,-28.467000536370158,,
grid,6,0.4,274.42700538471826,14.113418686348012,0.9029076541211104,-28.25819498058195,,
grid,9,0.1,523.2056574457057,20.07791510765373,0.9863057229114802,-20.35702430160019,,
grid,9,0.2,333.69083665056013,15.802523828388292,0.9708349613852973,-24.58622824103308,,
grid,9,0.3,286.6375118676537,14.480205075742125,0.9698632606833468,-22.251357432075757,,
grid,9,0.4,254.8566624504962,13.502465756085735,0.9187455110294758,-25.816208830173114,,
grid,12,0.1,447.9228906960965,18.5419165338768,0.9559326140155061,-22.216422176191042,,
grid,12,0.2,300.9023497808462,14.895722424338498,0.9476868396784519,-20.24638779172382,,
grid,12,0.3,247.93068938719745,13.278965372594453,0.9082911114211211,-22.128259755186807,,
grid,12,0.4,248.53198886332598,13.298527219246846,0.9284640942156901,-23.21315078484185,,
grid,18,0.1,464.0331652874571,18.88593128120517,0.9532387977061543,-29.24889805834845,,
grid,18,0.2,267.48796019121033,13.90015406230598,0.8708444715994605,-20.370056722884165,,
grid,18,0.3,221.53487987273078,12.388741772159406,0.8340325158197991,-19.620637324680914,,
grid,18,0.4,206.8466617578779,11.864462516254637,0.8209235306164363,-20.556503650328295,,
subperiod,6,0.2,86.18320638004637,13.475773984733518,0.806888330558019,-29.500764386478828,first half,
subperiod,6,0.2,139.69953620592074,19.10594487457462,1.0471565747527836,-15.021155331954194,second half,
cost,6,0.2,355.28237320557423,16.366529893718628,0.940763219879079,-29.500764386478828,,5.0
cost,6,0.2,318.6664372944836,15.394953018079294,0.8938444776859285,-29.675726506345022,,15.0
cost,6,0.2,269.14594711509096,13.95143809745405,0.8233416890952129,-29.93763031730925,,30.0
