Ticker,Period,Strategy,Total_Return,Market_Return,Vs_Market,Up_Day_Rate,Max_Drawdown,Sharpe_Ratio,Final_Value,Score
ED,test,Logistic Regression,5.7,68.78,-63.07,41.16,-21.21,-0.057,10570.46,0.2193
ED,test,Random Forest,39.24,68.78,-29.53,36.28,-19.37,0.265,13924.48,0.4529
XEL,train,Buy & Hold,138.42,137.94,0.48,55.75,-29.28,0.756,23841.98,0.867
XEL,train,SMA Crossover,56.1,137.94,-81.84,35.41,-22.47,0.52,15610.28,0.6048
XEL,train,EMA Crossover,74.58,137.94,-63.36,41.37,-20.5,0.616,17458.48,0.6957
XEL,train,SMA + RSI,34.71,137.94,-103.23,28.9,-21.35,0.371,13471.1,0.4909
XEL,train,Bollinger Bands,-9.09,137.94,-147.04,3.08,-21.0,-0.207,9090.63,0.1153
XEL,train,Logistic Regression,53.87,61.35,-7.48,34.7,-15.26,0.814,15386.93,0.769
XEL,train,Random Forest,70.24,61.35,8.9,35.27,-13.31,1.053,17024.25,0.927
XEL,test,Buy & Hold,32.46,32.53,-0.07,51.75,-34.41,0.189,13246.23,0.3562
XEL,test,SMA Crossover,-12.95,32.53,-45.48,28.34,-33.45,-0.317,8704.83,0.0152
XEL,test,EMA Crossover,-22.04,32.53,-54.57,28.88,-35.39,-0.433,7796.04,-0.0668
XEL,test,SMA + RSI,-15.42,32.53,-47.95,24.02,-31.57,-0.398,8457.56,-0.0246
XEL,test,Bollinger Bands,-17.88,32.53,-50.41,3.22,-24.8,-1.158,8212.23,-0.3892
XEL,test,Logistic Regression,24.05,39.12,-15.07,39.28,-25.72,0.127,12405.26,0.3344
XEL,test,Random Forest,11.73,39.12,-27.39,35.17,-41.1,0.007,11172.85,0.2037
KHC,train,Buy & Hold,-43.95,-43.33,-0.62,49.68,-76.07,-0.22,5605.1,-0.1261
KHC,train,SMA Crossover,-18.72,-43.33,24.61,23.91,-52.95,-0.119,8128.15,0.0442
KHC,train,EMA Crossover,-18.17,-43.33,25.16,22.33,-37.38,-0.221,8183.42,0.041
KHC,train,SMA + RSI,-17.28,-43.33,26.05,21.47,-51.39,-0.13,8272.31,0.0463
KHC,train,Bollinger Bands,-28.57,-43.33,14.76,5.15,-39.67,-0.563,7142.71,-0.1576
KHC,train,Logistic Regression,-31.59,-35.55,3.96,24.04,-45.79,-0.529,6841.08,-0.1651
KHC,train,Random Forest,13.13,-35.55,48.68,32.05,-25.08,0.257,11312.84,0.3795
KHC,test,Buy & Hold,2.3,1.64,0.67,51.14,-41.69,-0.006,10230.29,0.1765
KHC,test,SMA Crossover,-22.2,1.64,-23.84,23.61,-39.48,-0.407,7779.86,-0.0663
KHC,test,EMA Crossover,-9.47,1.64,-11.11,23.46,-42.94,-0.226,9052.73,0.0392
KHC,test,SMA + RSI,-21.01,1.64,-22.65,20.24,-40.77,-0.439,7898.95,-0.0838
KHC,test,Bollinger Bands,13.9,1.64,12.26,3.93,-4.57,-0.139,11389.71,0.2446
KHC,test,Logistic Regression,8.52,-8.42,16.94,24.76,-29.02,-0.061,10851.78,0.1995
KHC,test,Random Forest,24.42,-8.42,32.84,33.21,-25.88,0.128,12442.12,0.3352
GIS,train,Buy & Hold,44.57,42.35,2.22,52.95,-45.1,0.357,14456.79,0.4323
GIS,train,SMA Crossover,-7.5,42.35,-49.86,32.47,-34.65,-0.057,9249.54,0.1525
GIS,train,EMA Crossover,-11.18,42.35,-53.53,31.37,-31.5,-0.087,8881.78,0.1396
GIS,train,SMA + RSI,3.4,42.35,-38.95,27.88,-27.63,0.053,10339.9,0.2504
GIS,train,Bollinger Bands,9.24,42.35,-33.11,4.04,-6.95,0.134,10924.42,0.3646
GIS,train,Logistic Regression,10.32,15.97,-5.65,38.39,-21.14,0.201,11032.09,0.3577
GIS,train,Random Forest,16.59,15.97,0.62,37.68,-28.68,0.292,11659.49,0.3931
GIS,test,Buy & Hold,-19.55,-20.03,0.47,50.44,-59.63,-0.207,8044.53,-0.0215
GIS,test,SMA Crossover,-13.72,-20.03,6.31,23.2,-36.06,-0.336,8628.35,-0.0036
GIS,test,EMA Crossover,-2.96,-20.03,17.07,22.52,-28.72,-0.201,9704.04,0.1074
GIS,test,SMA + RSI,3.5,-20.03,23.53,19.99,-28.25,-0.13,10350.29,0.1572
GIS,test,Bollinger Bands,-6.14,-20.03,13.89,3.9,-11.65,-0.844,9386.39,-0.1692
GIS,test,Logistic Regression,27.11,-19.3,46.41,41.71,-30.62,0.151,12710.94,0.3379
GIS,test,Random Forest,-14.26,-19.3,5.04,36.77,-34.3,-0.279,8573.73,0.0291
CAG,train,Buy & Hold,55.66,55.26,0.4,52.12,-47.67,0.379,15566.08,0.4578
CAG,train,SMA Crossover,25.14,55.26,-30.12,30.55,-22.16,0.248,12514.39,0.4078
CAG,train,EMA Crossover,-11.25,55.26,-66.51,31.71,-36.43,-0.058,8875.45,0.1392
CAG,train,SMA + RSI,20.39,55.26,-34.87,26.51,-24.82,0.215,12038.89,0.3738
CAG,train,Bollinger Bands,-12.59,55.26,-67.85,3.49,-20.72,-0.364,8741.42,0.0307
CAG,train,Logistic Regression,15.79,7.02,8.76,35.98,-31.37,0.274,11578.53,0.3745
CAG,train,Random Forest,41.19,7.02,34.16,38.24,-41.41,0.511,14118.68,0.5137
CAG,test,Buy & Hold,-43.81,-43.83,0.02,48.87,-62.52,-0.429,5618.63,-0.1897
CAG,test,SMA Crossover,-42.51,-43.83,1.32,20.4,-51.61,-0.752,5749.15,-0.3158
CAG,test,EMA Crossover,-30.75,-43.83,13.08,19.16,-38.63,-0.553,6924.63,-0.1539
CAG,test,SMA + RSI,-37.52,-43.83,6.31,18.62,-47.89,-0.711,6247.64,-0.2742
CAG,test,Bollinger Bands,16.43,-43.83,60.26,4.93,-9.79,-0.028,11643.07,0.2895
CAG,test,Logistic Regression,-44.66,-41.49,-3.16,41.23,-59.2,-0.566,5534.44,-0.2499
CAG,test,Random Forest,-56.27,-41.49,-14.78,33.22,-67.14,-0.912,4372.85,-0.47
CPB,train,Buy & Hold,32.11,31.33,0.78,52.88,-48.74,0.279,13210.89,0.3575
CPB,train,SMA Crossover,-26.9,31.33,-58.24,29.32,-43.15,-0.285,7309.83,-0.0257
CPB,train,EMA Crossover,-18.94,31.33,-50.27,30.82,-37.0,-0.187,8106.45,0.0576
CPB,train,SMA + RSI,-21.97,31.33,-53.3,25.0,-34.04,-0.244,7803.12,0.0319
CPB,train,Bollinger Bands,-19.82,31.33,-51.16,3.29,-23.0,-0.575,8017.55,-0.0961
CPB,train,Logistic Regression,-31.22,11.43,-42.65,33.14,-38.99,-0.631,6877.99,-0.1949
CPB,train,Random Forest,-18.09,11.43,-29.52,31.3,-29.46,-0.336,8191.27,0.0074
CPB,test,Buy & Hold,-39.06,-39.4,0.34,48.46,-60.04,-0.35,6094.21,-0.1332
CPB,test,SMA Crossover,-29.45,-39.4,9.95,20.26,-40.89,-0.469,7055.05,-0.1161
CPB,test,EMA Crossover,-31.97,-39.4,7.43,21.15,-38.22,-0.539,6803.14,-0.1481
CPB,test,SMA + RSI,-19.84,-39.4,19.56,19.23,-37.59,-0.371,8015.68,-0.038
CPB,test,Bollinger Bands,4.18,-39.4,43.58,4.72,-13.56,-0.38,10417.77,0.0777
CPB,test,Logistic Regression,-0.95,-41.49,40.54,43.31,-37.26,-0.054,9905.01,0.1593
CPB,test,Random Forest,-22.42,-41.49,19.07,38.79,-41.05,-0.292,7758.01,-0.014
SJM,train,Buy & Hold,34.26,33.55,0.71,52.26,-36.71,0.293,13426.01,0.4049
SJM,train,SMA Crossover,12.6,33.55,-20.95,27.53,-37.62,0.154,11260.45,0.2893
SJM,train,EMA Crossover,28.7,33.55,-4.85,29.11,-28.06,0.274,12870.43,0.4102
SJM,train,SMA + RSI,16.63,33.55,-16.92,24.11,-37.93,0.185,11662.87,0.312
SJM,train,Bollinger Bands,8.74,33.55,-24.81,3.42,-12.77,0.106,10874.15,0.3322
SJM,train,Logistic Regression,-21.51,0.75,-22.26,38.53,-32.79,-0.371,7849.17,-0.0269
SJM,train,Random Forest,-4.55,0.75,-5.3,34.28,-35.13,-0.063,9545.0,0.154
SJM,test,Buy & Hold,30.99,30.33,0.66,49.9,-38.11,0.188,13098.83,0.3416
SJM,test,SMA Crossover,12.3,30.33,-18.03,24.98,-28.72,0.02,11230.17,0.2484
