OrderId,Ticker,Side,SubmittedAt,FilledAt,Status,Qty,FilledQty,FilledAvgPrice,Notional,OrderType
5ea9a2a5-6135-4fee-8f32-7ac36dbd6ca0,NVDA,sell,2026-08-14 08:00:16.070255+00:00,2026-08-14 13:33:47.419816+00:00,filled,26.1919,26.1919,227.1603,5949.76,market
f2b5b305-52b9-4549-9d12-450795ac3845,AAPL,sell,2026-08-14 08:00:15.909161+00:00,2026-08-14 13:32:26.449457+00:00,filled,19.01,19.01,306.4322,5825.28,market
7c851fe6-f4b0-4ebf-b86b-4e49f7fcf810,NVDA,buy,2026-08-11 08:00:22.595497+00:00,2026-08-11 13:34:55.622613+00:00,filled,26.1919,26.1919,220.9079,5786.0,market
2c2bce0a-a29f-4dcd-8251-36780461a8a6,TSLA,sell,2026-08-17 08:00:41.708059+00:00,2026-08-17 13:36:36.252859+00:00,filled,17.2815,17.2815,338.3081,5846.47,market
6564b8b1-5823-46ba-a76b-a7c93b97aa15,NVDA,buy,2026-08-17 08:00:41.608840+00:00,2026-08-17 13:32:37.163161+00:00,filled,10.7665,10.7665,226.17,2435.06,market
ad9ab65a-c9e1-4e98-8e9e-e65fdfe9a121,NVDA,sell,2026-08-18 08:00:27.623334+00:00,2026-08-18 13:34:10.606413+00:00,filled,10.7665,10.7665,219.6633,2365.0,market
d6619160-e7df-4b18-9f13-c1fe1cb3d09d,AAPL,buy,2026-08-18 08:00:27.383382+00:00,2026-08-18 13:30:50.039384+00:00,filled,7.8556,7.8556,307.28,2413.87,market
